,0,1,2,3,4,5,6,7,8,9,10
179,0.008770073147931878,0.012921422956058137,0.016626207019958206,0.019338432285319396,0.021090113533343002,0.02278717693940513,0.025140645180908194,0.026550183706181896,0.029316838671233802,0.02984197167754188,0.030074048575305268
184,0.006944052885368257,0.011530517989886024,0.014833056670625067,0.018293051225754864,0.020805507650436095,0.023103561222474034,0.02477838925183795,0.026823476557178316,0.028449678338412054,0.029804654226604277,0.030620399306858892
188,0.0048458365722506835,0.008724455217684723,0.012494770374090858,0.015916757516404534,0.02559863551666086,0.03026309330798882,0.033149122014519805,0.034204487686396834,0.0349694942395794,0.03545242897109746,0.03772955480960505
189,0.0021862753576775695,0.003752295135500461,0.0051102424717750505,0.006239982764341234,0.00752313468079302,0.008483950771191462,0.009524466193950976,0.010279637423719623,0.011123264004857747,0.012307935562019034,0.012615804669415254
197,0.004615717085617366,0.008211549966404053,0.011693253944243254,0.015063121826018655,0.01764744085221004,0.019842800634874647,0.021585375376018123,0.02332985410110877,0.024556907957307583,0.026067690222390416,0.027044416499001245
199,0.010578650290937186,0.013923641496390804,0.016142274897011366,0.01931743073726877,0.02056691322079751,0.02169354980098348,0.022839146372760077,0.023536315563785992,0.0243861292239419,0.0248232373427969,0.02515778083438469
204,0.0067630236112090625,0.012698210224527218,0.015821546368482542,0.018601233924295024,0.021265404834851065,0.022543131946293427,0.02386607282365827,0.02511963943071971,0.026271710667513437,0.027113561213089277,0.027855899877913814
210,0.005824036740051164,0.01271979325721806,0.017154538548937226,0.020141924001542577,0.022177945028399204,0.02383007161553552,0.02614426692675309,0.027687537811777907,0.028995001062004144,0.029927536346152084,0.03093818793971237
213,0.006103120883194535,0.009056826476642299,0.0116090619102025,0.01489877894495284,0.016971391163314142,0.019223119965883106,0.021569041621775198,0.023059267747164047,0.02445012611233377,0.025693925024076858,0.02700287022185688
215,0.0039314318758630895,0.006947382648654132,0.009553713223088178,0.011902782602760897,0.013935719276894742,0.015912979714213904,0.01756299154958718,0.01863956742672379,0.019697818711678194,0.020834724601462074,0.021791870359942567
216,0.007241250589629766,0.012509141223099207,0.014359774720784535,0.01614382884364074,0.017486315680925957,0.018945295551984542,0.020215232097083313,0.020990600188173336,0.021767027265316652,0.02251209601514026,0.0236156803521399
223,0.0022465861388624164,0.009117199430283884,0.010818218979651517,0.01297087500060401,0.014834796686836738,0.01634368246827922,0.017721474756166034,0.019013237488283208,0.020057470785656895,0.021429252037865498,0.02193181168351388
224,0.004606487361172418,0.008836426766376193,0.011989067486239402,0.014563148511064883,0.017761840133466156,0.021183684918395507,0.024088824239186235,0.02668244091369809,0.028650646187726947,0.032707591244518386,0.034142823217604534
228,0.008774605596562068,0.012946684500918959,0.015796933727036944,0.017858828769820034,0.01912324674582755,0.021651492033536335,0.022901954575761163,0.0241395527388506,0.025087027820477004,0.02599052098748411,0.026496006295521735
