,opto_stim,wheel_velocity,nose,paw_l,paw_r,tongue_end_l,tongue_end_r,motion_energy_body,motion_energy_left,motion_energy_right,pupil_diameter,score,acronym
137,0.031432149017320166,0.0456362587989968,0.051178544743248455,0.05562266246763414,0.05904676489096372,0.06178666000419797,0.06380036836913983,0.0639938559961667,0.06399385599616725,0.06399385599616847,0.06399385599616558,0.06399385599616558,ORBm5
140,0.02203417420741549,0.027219044137512194,0.03207859395247703,0.03638705903486339,0.04119356221547854,0.04532551093381243,0.04758007861146585,0.047629930632363204,0.047629930632357875,0.04762993063236054,0.04762993063236454,0.04762993063236454,ORBm5
143,0.009243862682675852,0.01909839924037393,0.025991007415988476,0.02993670551732508,0.03280090041038086,0.03428953313956451,0.03522692778055703,0.0359147421696262,0.035914742169629754,0.03591474216962831,0.035914742169623315,0.035914742169623315,ORBm5
144,0.046427243369628335,0.052968786234497856,0.057454447349166715,0.0617822442717193,0.06432970976472352,0.06818696607840335,0.07019525720037423,0.0721318933390237,0.07213189333902381,0.07213189333902226,0.07213189333902426,0.07213189333902426,ORBm5
146,0.00803260044691989,0.01384598731499842,0.0166385442488729,0.01946932549154856,0.02183992087877784,0.023137560950867497,0.02417534446238956,0.02417696140679859,0.024176961406798925,0.02417696140679948,0.024176961406797592,0.024176961406797592,ORBm5
149,0.002593021801254758,0.0046451448222810665,0.006928622674328477,0.007213001002735142,0.007298785424834975,0.0073718975725126645,0.007389755727596703,0.0073993616980330135,0.007399361698032791,0.0073993616980329024,0.007399361698034124,0.007399361698034124,ORBm5
150,0.011625362060284083,0.01939074435822674,0.02391666027638406,0.026630141933050355,0.030592532603320288,0.03313033205588389,0.0356058851304234,0.036109761211828184,0.03610976121182574,0.036109761211827074,0.03610976121182419,0.03610976121182419,ORBm5
154,0.004657150251820119,0.010573655683429495,0.01287304869750272,0.014770857934941484,0.016566386829768964,0.018181610531280867,0.019870518776530788,0.020021152320543023,0.020021152320542135,0.02002115232054369,0.020021152320543356,0.020021152320543356,ORBm5
155,0.0033290789455787673,0.006504853055376847,0.012350762055764242,0.014171801541250528,0.01642720902713235,0.018104516317467456,0.019548132853398847,0.019903042186763198,0.019903042186762976,0.019903042186761866,0.01990304218676453,0.01990304218676453,ORBm5
156,0.01249711846314372,0.02062257157399483,0.02255561575660503,0.024260439694003266,0.024457300356993672,0.02525030584287713,0.025306189560617254,0.025323481485458155,0.025323481485456267,0.02532348148545438,0.025323481485456267,0.025323481485456267,ORBm5
158,0.008584070834500634,0.01579263127802022,0.02085826873189034,0.023277194548334657,0.02537788383033479,0.02632524674973058,0.028285007571495324,0.028376402888666163,0.02837640288867238,0.02837640288867027,0.028376402888664165,0.028376402888664165,ORBm5
164,0.00591081937779947,0.01249817620296556,0.017179157391534416,0.021205266467044903,0.02391771255747477,0.025495085096335024,0.026321018667179286,0.026739189687949638,0.02673918968794564,0.02673918968794131,0.026739189687944864,0.026739189687944864,ORBm5
165,0.006462973858365584,0.011651876279449191,0.015492372047094083,0.017653336389870877,0.017912203242554825,0.018047811333980368,0.01814418557390507,0.01814635266546083,0.018146352665459275,0.018146352665460164,0.018146352665460497,0.018146352665460497,ORBm5
168,0.009771773256742722,0.01615996882205406,0.02167688830180514,0.024828565995110963,0.02750284600323971,0.029845786060348267,0.03262072757397205,0.032622130799506155,0.03262213079950693,0.032622130799503934,0.03262213079950593,0.03262213079950593,ORBm5
171,0.02132422873392581,0.04173330538913356,0.04723035400047204,0.04932234321843765,0.049923015263255044,0.05027945000086598,0.050514709286468173,0.05069667415156176,0.050696674151561205,0.05069667415155088,0.05069667415155599,0.05069667415155599,ORBm5
172,0.006686416253396832,0.015110594225078433,0.021221440938190894,0.025093299691563486,0.02866770851916156,0.029698310652482407,0.030552144153352057,0.030945603243594744,0.030945603243593856,0.030945603243596853,0.030945603243593744,0.030945603243593744,ORBm5
173,0.020218027622301626,0.03284065447457829,0.04129583528243008,0.04527181943920833,0.04649088544807656,0.046968250129429956,0.04727847797819862,0.04740247703432443,0.04740247703432188,0.04740247703432099,0.04740247703432465,0.04740247703432465,ORBm5
174,0.11522367309554016,0.14238327830659148,0.15248706185517025,0.15696248014599212,0.16177251756700828,0.1658582117856482,0.16741676707760522,0.17044456568233868,0.17044456568233446,0.1704445656823529,0.17044456568234323,0.17044456568234323,ORBm5
176,0.010261311000939743,0.016435092499720305,0.020866636632150826,0.02505226362855517,0.0283097051069644,0.03065155590155466,0.03286584809575388,0.032868181848803024,0.03286818184881046,0.032868181848806466,0.032868181848803024,0.032868181848803024,ORBm5
177,0.0034582252382322487,0.005245010910851611,0.0064194067313231296,0.007530534926176946,0.00873180591347944,0.00952982948016956,0.009858365505474587,0.00999446450036634,0.009994464500364453,0.009994464500363898,0.009994464500364453,0.009994464500364453,ORBm5
179,0.026734264973459543,0.03957533047395123,0.047549205104236214,0.053691807902042865,0.059929693259436756,0.06236047750145701,0.06573217924640973,0.06628624724567533,0.06628624724567744,0.06628624724567844,0.06628624724567755,0.06628624724567755,ORBm5
182,0.013748221617651879,0.024432773820525333,0.03223208556768209,0.03843650908366203,0.04140541362464156,0.04366738522487523,0.04575179137619512,0.04669308429368724,0.04669308429368979,0.0466930842936899,0.04669308429368835,0.04669308429368835,ORBm5
184,0.006366889488238381,0.010661521456937217,0.013879082862223502,0.01713001842443207,0.02093856296185348,0.023764151609914075,0.0249313001764635,0.025717832859168288,0.025717832859164957,0.025717832859166845,0.02571783285917162,0.02571783285917162,ORBm5
185,0.005284907339911382,0.00931343843466137,0.012343064298995676,0.01562099539362738,0.018209463053058927,0.02031688795343234,0.02242083138842299,0.022882190926256984,0.022882190926256762,0.022882190926259094,0.022882190926256207,0.022882190926256207,ORBm5
187,0.0697668606123436,0.08078008017985283,0.09512643752472727,0.09923512361309694,0.10362789371881409,0.10696414888775974,0.11084387001041396,0.1109166577042775,0.11091665770427839,0.11091665770427594,0.1109166577042785,0.1109166577042785,ORBm5
190,0.006865702184405742,0.01595606877412481,0.01906237247916398,0.020553549609827693,0.021637371732320054,0.022699197120810477,0.024000350139496973,0.024341547279852604,0.02434154727985305,0.024341547279850495,0.024341547279856712,0.024341547279856712,ORBm5
195,0.0036567069688725473,0.006298858091471571,0.008987811378016408,0.011584427235166173,0.01424044351610776,0.0161345798609579,0.016640922949095693,0.017000177083764667,0.017000177083760892,0.017000177083762225,0.017000177083760892,0.017000177083760892,ORBm5
196,0.01010230722320149,0.01817661275675775,0.02518370475392806,0.03044708521282924,0.03330284181206822,0.0362820371442677,0.038787280999521334,0.04026188646300777,0.04026188646300699,0.04026188646300688,0.04026188646300777,0.04026188646300777,ORBm5
197,0.0031980128270887587,0.00696524769151019,0.010209101570974544,0.0132340959365419,0.015434241955761485,0.016615259556715056,0.017574964584153085,0.017584476013292716,0.017584476013297157,0.017584476013294603,0.017584476013293604,0.017584476013293604,ORBm5
200,0.008540730530499974,0.014488702165732947,0.018842469668106876,0.02125974482378734,0.023481762126717376,0.025328974659647008,0.028399095156973142,0.029144076013304265,0.02914407601330471,0.029144076013305154,0.029144076013304487,0.029144076013304487,ORBm5
202,0.009312029567812963,0.011765398616779721,0.013892504050671772,0.014647902663433854,0.015060235275720535,0.015261313309528846,0.015332890179674874,0.015374836406117587,0.01537483640611681,0.015374836406110481,0.015374836406117698,0.015374836406117698,ORBm5
204,0.028906688600749186,0.04059468050940518,0.0505131657683251,0.06064013644160615,0.06763125223939392,0.0724730960837372,0.07716474195395728,0.07720409296149056,0.07720409296148678,0.07720409296148834,0.07720409296148767,0.07720409296148767,ORBm5
206,0.006382007193744821,0.009797067652593583,0.011334239126301715,0.012655080732095758,0.013997399445494607,0.015421905181329909,0.01638604160441215,0.01685835207389763,0.01685835207389763,0.016858352073901406,0.016858352073896632,0.016858352073896632,ORBm5
208,0.012755742638315914,0.01974377715152953,0.026617299523968074,0.03456813411157622,0.04591144143611381,0.04998068323719573,0.05417320920966051,0.054406330812985404,0.054406330812983184,0.05440633081298163,0.05440633081298796,0.05440633081298796,ORBm5
209,0.03111403422488035,0.039848820540092644,0.04590708454635373,0.04810573151219133,0.049855546353100744,0.05147440407662507,0.0531066101366261,0.05336312456319525,0.053363124563192366,0.053363124563194586,0.05336312456319492,0.05336312456319492,ORBm5
