,subject,date,eid,region_1,region_2,region_pair,r_opto,r_spont_05,r_spont_95,time
327,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,PPC,Hipp-PPC,0.6790628153341371,-0.22617063181732852,0.3761673951993502,1.5
328,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,PPC,Hipp-PPC,0.2120039579102681,-0.23296614876513363,0.3628156863844179,1.7000000000000002
329,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,PPC,Hipp-PPC,-0.14716357720446863,-0.24827344426225884,0.34131735085605114,1.9
330,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,Thal,Hipp-Thal,0.5073088301761158,-0.24609189141982366,0.38024708287444325,-0.9
331,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,Thal,Hipp-Thal,0.5482484033091389,-0.23961275420241793,0.3428225758907195,-0.7000000000000001
332,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,Thal,Hipp-Thal,-0.05473575908937431,-0.25805178265121315,0.3829777030826025,-0.5
333,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,Thal,Hipp-Thal,0.08287898882917429,-0.23890595746789042,0.36190307134737204,-0.30000000000000004
334,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,Thal,Hipp-Thal,0.32281761014416577,-0.2279772697617771,0.35084635956135046,-0.1
335,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,Thal,Hipp-Thal,-0.3125271002078057,-0.2362494491793535,0.3594732630978513,0.1
336,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,Thal,Hipp-Thal,0.31424157001481956,-0.2553421944056344,0.3529220473522519,0.30000000000000004
337,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,Thal,Hipp-Thal,0.7364586277154659,-0.22450256132683036,0.3368821867261394,0.5
338,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,Thal,Hipp-Thal,0.15132383767458635,-0.2551466865650151,0.36700565275422825,0.7000000000000001
339,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,Thal,Hipp-Thal,0.28160104557588544,-0.2598270369648584,0.36785289789359626,0.9
340,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,Thal,Hipp-Thal,0.06739477054427294,-0.2362550160305785,0.39504088176463736,1.1
341,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,Thal,Hipp-Thal,0.20014619768863362,-0.2510925430578235,0.37701414678991524,1.3000000000000003
342,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,Thal,Hipp-Thal,0.5577734598481047,-0.23833827395164703,0.35771311301298414,1.5
343,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,Thal,Hipp-Thal,0.38606125975010014,-0.253738633355293,0.3936718663835067,1.7000000000000002
344,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,Hipp,Thal,Hipp-Thal,-0.3528388776367978,-0.23702234233299524,0.4058872765711372,1.9
345,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,PPC,Thal,PPC-Thal,0.9082386545212356,-0.2181677352975041,0.446339742371385,-0.9
346,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,PPC,Thal,PPC-Thal,0.8248411789886201,-0.24902989508195034,0.4458203373701968,-0.7000000000000001
347,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,PPC,Thal,PPC-Thal,0.5550273914454069,-0.24893755686611427,0.3974853848846884,-0.5
348,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,PPC,Thal,PPC-Thal,0.5506308568877896,-0.24745707729214925,0.46164430602263895,-0.30000000000000004
349,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,PPC,Thal,PPC-Thal,0.17268687022894877,-0.22565207990099853,0.46080595536392227,-0.1
350,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,PPC,Thal,PPC-Thal,0.5898909079451071,-0.2279926575594717,0.43980602897404897,0.1
351,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,PPC,Thal,PPC-Thal,0.801903470503252,-0.24658206581177303,0.43324340457393895,0.30000000000000004
352,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,PPC,Thal,PPC-Thal,0.8006558337894217,-0.2541445338765688,0.41698227549220346,0.5
353,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,PPC,Thal,PPC-Thal,0.9250900288554341,-0.23744749247136146,0.4309552365501681,0.7000000000000001
354,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,PPC,Thal,PPC-Thal,0.8981991526206525,-0.24473928531827754,0.48380774092859696,0.9
355,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,PPC,Thal,PPC-Thal,0.7519445236554214,-0.256489475168036,0.408716363218102,1.1
356,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,PPC,Thal,PPC-Thal,0.7930064268842512,-0.2482039075663218,0.42578386872328405,1.3000000000000003
357,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,PPC,Thal,PPC-Thal,0.9262229615063452,-0.2362994215804313,0.4137289160053916,1.5
358,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,PPC,Thal,PPC-Thal,0.7256304413806164,-0.2336471518617857,0.40080177954138263,1.7000000000000002
359,ZFM-01802,2021-03-09,2f72e869-fbd1-4ecd-a503-30dc24980ecf,PPC,Thal,PPC-Thal,0.4924456183763074,-0.2521813225550895,0.41002738182805437,1.9
360,ZFM-02601,2021-11-18,40d3fa8b-3c47-4146-ad7a-c38dc7323e4e,PPC,Thal,PPC-Thal,0.3307362107849399,-0.3693514311827388,0.47770022437101917,-0.9
