,subject,date,eid,region_1,region_2,region_pair,r_opto,r_baseline,time
92,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.4766440211780602,0.011228055691962946,1.5
93,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.4847375011448705,0.01932153565877326,1.7000000000000002
94,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.4433525278123692,-0.022063437673728037,1.9
95,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.44794092709552,-0.017475038390577236,2.1
96,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.4230158607051523,-0.04240010478094497,2.3000000000000003
97,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.44711155122459195,-0.01830441426150531,2.5
98,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.5208773733795633,0.05546140789346604,2.7
99,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SC,MRN-SC,0.5634909382779587,0.09807497279186145,2.9000000000000004
100,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.43967803832420954,0.02659725767448079,-0.9
101,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.4353356603645885,0.022254879714859732,-0.7000000000000001
102,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.34965673441977296,-0.06342404622995579,-0.5
103,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.3410371897220638,-0.07204359092766494,-0.30000000000000004
104,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.49969628041800873,0.08661549976827998,-0.1
105,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.4581697819847404,0.04508900133501165,0.1
106,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.4525246974705641,0.03944391682083537,0.30000000000000004
107,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.5122828736323679,0.09920209298263916,0.5
108,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.47206469582067895,0.058983915170950196,0.7000000000000001
109,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.4680107882066818,0.05493000755695304,0.9
110,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.47703889949124134,0.06395811884151259,1.1
111,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.4840194533307276,0.07093867268099885,1.3000000000000003
112,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.47896379634451125,0.0658830156947825,1.5
113,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.5086255240901764,0.09554474344044761,1.7000000000000002
114,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.4238606561590635,0.010779875509334735,1.9
115,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.5121829305349707,0.09910214988524191,2.1
116,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.5355246959303344,0.12244391528060561,2.3000000000000003
117,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.497642478990241,0.08456169834051225,2.5
118,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.4517814764547809,0.03870069580505214,2.7
119,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,SN,MRN-SN,0.5208927167644058,0.1078119361146771,2.9000000000000004
120,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.5851364118316318,0.08180273251559544,-0.9
121,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.4852174014006042,-0.018116277915432133,-0.7000000000000001
122,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.41829677588694325,-0.08503690342909309,-0.5
123,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.519956090336717,0.016622411020680627,-0.30000000000000004
124,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.5080617171242855,0.0047280378082491525,-0.1
125,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.4733839740090039,-0.029949705307032448,0.1
126,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.4602893382582687,-0.043044341057767666,0.30000000000000004
127,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.5731148863148899,0.0697812069988536,0.5
128,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.5575870209769278,0.05425334166089146,0.7000000000000001
129,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.49574791071446245,-0.0075857686015738945,0.9
130,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.6156084190290418,0.1122747397130055,1.1
131,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.5315357259815332,0.02820204666549686,1.3000000000000003
132,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.526454471317777,0.023120792001740664,1.5
133,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.5214726560354264,0.01813897671939002,1.7000000000000002
134,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.42600863933962174,-0.0773250399764146,1.9
135,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.6146662063160349,0.11133252699999852,2.1
136,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.4243538096414952,-0.07897986967454113,2.3000000000000003
137,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.5945320313218682,0.09119835200583182,2.5
138,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.484333065930266,-0.01900061338577036,2.7
139,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,Hipp,MRN-Hipp,0.5773716684151803,0.07403798909914394,2.9000000000000004
140,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.6008286164147926,0.1475983565767665,-0.9
141,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.3641286474416876,-0.08910161239633846,-0.7000000000000001
142,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.4996083458264286,0.04637808598840254,-0.5
143,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.3697439600218306,-0.08348629981619549,-0.30000000000000004
144,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,MRN,PPC,MRN-PPC,0.4318417294853911,-0.021388530352634938,-0.1
