pid,eid,probe,subject,neuron_id,regions,dist_soma,theta,phi,spread,v_above,v_below,type
2cd25262-6818-4b21-9f25-8b8f938c5e37,31684e30-6708-4816-a8cb-c32c63ea7541,probe00,ZFM-03331,491,VISa4,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,,,,Und.
2cd25262-6818-4b21-9f25-8b8f938c5e37,31684e30-6708-4816-a8cb-c32c63ea7541,probe00,ZFM-03331,352,VISa4,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,0.12,0.5999999865889557,0.5454545332626805,RS1
2cd25262-6818-4b21-9f25-8b8f938c5e37,31684e30-6708-4816-a8cb-c32c63ea7541,probe00,ZFM-03331,485,VISa5,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,,,,Und.
2cd25262-6818-4b21-9f25-8b8f938c5e37,31684e30-6708-4816-a8cb-c32c63ea7541,probe00,ZFM-03331,350,VISa5,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,0.12,0.19999999552965203,0.5217391187730044,RS1
2cd25262-6818-4b21-9f25-8b8f938c5e37,31684e30-6708-4816-a8cb-c32c63ea7541,probe00,ZFM-03331,482,VISa6a,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,0.1,0.5999999865889594,0.44999998994171564,RS1
2cd25262-6818-4b21-9f25-8b8f938c5e37,31684e30-6708-4816-a8cb-c32c63ea7541,probe00,ZFM-03331,525,VISa5,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,0.1,0.3529411685817375,-0.003749999916180969,RS1
2cd25262-6818-4b21-9f25-8b8f938c5e37,31684e30-6708-4816-a8cb-c32c63ea7541,probe00,ZFM-03331,491,VISa4,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,0.12,0.5999999865889557,1.1999999731779183,RS1
2cd25262-6818-4b21-9f25-8b8f938c5e37,31684e30-6708-4816-a8cb-c32c63ea7541,probe00,ZFM-03331,490,VISa4,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,0.1,0.2999999932944774,-1.427491250810552e-15,RS1
2cd25262-6818-4b21-9f25-8b8f938c5e37,31684e30-6708-4816-a8cb-c32c63ea7541,probe00,ZFM-03331,485,VISa5,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,0.16,-0.7499999832361912,0.07999999821186064,NS
c9a47fb2-3348-4184-8c08-c7e4940e9264,37ba7dd8-714f-4c63-a7e3-548e35d8664a,probe00,ZFM-03329,388,VISa5,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,0.12,0.4999999888241301,-0.0076923075203712155,RS1
c9a47fb2-3348-4184-8c08-c7e4940e9264,37ba7dd8-714f-4c63-a7e3-548e35d8664a,probe00,ZFM-03329,409,VISa5,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,0.18,0.21657753526606682,0.33582088801620613,RS1
c9a47fb2-3348-4184-8c08-c7e4940e9264,37ba7dd8-714f-4c63-a7e3-548e35d8664a,probe00,ZFM-03329,390,VISa5,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,0.08,0.29999999329447896,-0.8999999798834348,NS
c9a47fb2-3348-4184-8c08-c7e4940e9264,37ba7dd8-714f-4c63-a7e3-548e35d8664a,probe00,ZFM-03329,626,VISa5,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],15.0,180.0,,,,Und.
