subject,date,pid,time,n_neurons,pca_dist
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.58,134,0.9456533663134421
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.6,134,0.8079698082055359
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.62,134,0.833374943192892
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.6400000000000001,134,1.7496871966982737
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.6600000000000001,134,0.7243248083521279
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.68,134,0.5876286288895912
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.7,134,0.8623560804638573
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.72,134,0.23667232888058937
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.74,134,1.2195878682284242
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.76,134,0.5353702303461532
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.78,134,0.4663334099958424
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.8,134,0.967904764867929
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.82,134,1.3132467906272007
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.84,134,0.4229746630179389
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.86,134,0.29705234325728164
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.8800000000000001,134,0.8351569455195473
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.9000000000000001,134,0.9126192159932145
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.92,134,0.26525155324518784
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.94,134,1.4804363976886175
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.96,134,1.421858202702742
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.98,134,0.8693425676818595
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,2.0,134,1.723854043618248
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,2.02,134,0.1619978130788021
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,2.04,134,0.9145981136558686
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,2.06,134,0.6065062087609235
