,subject,date,eid,region,pca_opto,pca_spont_mean,pca_spont_05,pca_spont_95,time
111,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,M2,14.0,13.49,12.0,15.0,0.30000000000000004
112,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,M2,13.0,13.26,12.0,15.0,0.5
113,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,M2,14.0,13.34,12.0,15.0,0.7000000000000001
114,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,M2,13.0,13.3,12.0,15.0,0.9
115,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,M2,12.0,13.24,12.0,15.0,1.1
116,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,M2,13.0,13.25,12.0,15.0,1.3000000000000003
117,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,M2,14.0,13.31,12.0,15.0,1.5
118,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,M2,14.0,13.25,12.0,15.0,1.7000000000000002
119,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,M2,15.0,13.26,12.0,15.0,1.9
120,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,mPFC,20.0,20.55,18.0,23.0,-0.9
121,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,mPFC,22.0,20.39,17.0,23.0,-0.7000000000000001
122,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,mPFC,18.0,20.4,18.0,23.0,-0.5
123,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,mPFC,22.0,20.42,18.0,23.0,-0.30000000000000004
124,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,mPFC,20.0,20.65,18.0,23.0,-0.1
125,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,mPFC,23.0,20.41,18.0,23.0,0.1
126,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,mPFC,22.0,20.45,18.0,23.0,0.30000000000000004
127,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,mPFC,23.0,20.81,18.0,23.0,0.5
128,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,mPFC,23.0,20.83,18.0,23.0,0.7000000000000001
129,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,mPFC,21.0,20.74,18.0,23.0,0.9
130,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,mPFC,22.0,20.65,19.0,23.0,1.1
131,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,mPFC,21.0,20.35,18.0,22.049999999999997,1.3000000000000003
132,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,mPFC,21.0,20.33,17.95,23.0,1.5
133,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,mPFC,22.0,20.32,18.0,23.0,1.7000000000000002
134,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,mPFC,23.0,20.37,18.0,22.049999999999997,1.9
135,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,M2,13.0,14.03,13.0,16.0,-0.9
136,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,M2,15.0,13.92,12.95,15.0,-0.7000000000000001
137,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,M2,15.0,13.9,12.0,15.049999999999997,-0.5
138,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,M2,15.0,13.8,12.0,15.0,-0.30000000000000004
139,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,M2,15.0,13.92,12.0,16.0,-0.1
140,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,M2,14.0,13.95,13.0,15.0,0.1
141,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,M2,15.0,13.98,13.0,16.0,0.30000000000000004
142,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,M2,14.0,13.82,12.0,15.0,0.5
143,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,M2,16.0,13.82,12.0,15.0,0.7000000000000001
144,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,M2,13.0,13.96,12.95,16.0,0.9
145,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,M2,15.0,13.93,13.0,15.049999999999997,1.1
146,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,M2,14.0,13.84,12.0,15.0,1.3000000000000003
147,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,M2,13.0,13.97,12.0,16.0,1.5
148,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,M2,15.0,13.95,13.0,15.0,1.7000000000000002
149,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,M2,14.0,13.89,13.0,15.0,1.9
150,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,mPFC,11.0,11.83,10.0,13.0,-0.9
151,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,mPFC,13.0,11.65,10.0,13.0,-0.7000000000000001
152,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,mPFC,13.0,11.88,10.0,14.0,-0.5
153,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,mPFC,10.0,11.81,10.0,13.0,-0.30000000000000004
