subject,date,pid,probe,region,time,n_neurons,pca_dist
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.0,30,0.12764291157238955
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.02,30,1.0183971293445544
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.04,30,0.5929434492488532
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.060000000000000005,30,0.4090609672506644
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.08,30,0.1340422461279742
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.1,30,0.0834772306653455
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.12,30,0.4808863715561916
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.14,30,0.7704942372358635
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.16,30,0.5911895850530827
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.18,30,0.35171689769344316
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.2,30,0.09310893995004842
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.22,30,0.14012398362585113
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.24,30,0.38864936306816256
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.26,30,0.26458511962844966
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.28,30,0.17438750276759651
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.30000000000000004,30,0.289731668174026
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.32,30,0.7843698121864615
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.33999999999999997,30,1.3742718393090234
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.36,30,1.0845104410554303
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.38,30,0.18827219028899778
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.4,30,0.1439216077566089
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.42000000000000004,30,0.14804663873714483
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.44,30,0.06133001510842464
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.45999999999999996,30,0.37257598258457797
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.48,30,0.3173336871646543
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.5,30,0.24613827821019707
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,0.52,30,0.21956950328539
